chr1 start1 end1 tsrID nTAGs strand chr2 annotation feature start2 end2 score1 strand score2 geneID distanceToGene
9405 scaffold_58 415323 415323 tsr_12696 25 - scaffold_58 maker gene 413582 415400 . - . dp_gene15870 0
9425 scaffold_59 366667 366667 tsr_12726 101 - scaffold_59 maker gene 358461 366675 . - . dp_gene15929 0
9559 scaffold_6 1501189 1501215 tsr_12890 225 + scaffold_6 maker gene 1495209 1500384 . + . dp_gene5053 806
9648 scaffold_6 3265266 3265266 tsr_13003 35 + scaffold_6 maker gene 3262356 3265771 . + . dp_gene5371 0
9711 scaffold_6 4398703 4398703 tsr_13081 22 + scaffold_6 maker gene 4398694 4403891 . + . dp_gene5634 0
9812 scaffold_6 1206854 1206856 tsr_13199 67 - scaffold_6 maker gene 1204968 1209015 . - . dp_gene5017 0
9820 scaffold_6 1416062 1416062 tsr_13211 23 - scaffold_6 maker gene 1406675 1419647 . - . dp_gene5042 0
9843 scaffold_6 1943542 1943542 tsr_13245 23 - scaffold_6 maker gene 1942269 1944353 . - . dp_gene5134 0
9877 scaffold_6 2174305 2174305 tsr_13283 69 - scaffold_6 maker gene 2173244 2174501 . - . dp_gene5180 0
9881 scaffold_6 2268292 2268292 tsr_13288 33 - scaffold_6 maker gene 2268661 2271819 . - . dp_gene5198 368
9895 scaffold_6 2770621 2770621 tsr_13309 145 - scaffold_6 maker gene 2768579 2770723 . - . dp_gene5270 0
9907 scaffold_6 2966790 2966790 tsr_13322 28 - scaffold_6 maker gene 2962829 2967014 . - . dp_gene5311 0
9920 scaffold_6 3215238 3215242 tsr_13336 193 - scaffold_6 maker gene 3215749 3217395 . - . dp_gene5362 507
9934 scaffold_6 3391374 3391402 tsr_13354 342 - scaffold_6 maker gene 3383689 3391516 . - . dp_gene5390 0
9941 scaffold_6 3690230 3690230 tsr_13362 21 - scaffold_6 maker gene 3682992 3690482 . - . dp_gene5462 0
9948 scaffold_6 3810379 3810379 tsr_13371 47 - scaffold_6 maker gene 3808473 3810399 . - . dp_gene5494 0
9949 scaffold_6 3820100 3820100 tsr_13373 76 - scaffold_6 maker gene 3819095 3821029 . - . dp_gene5496 0
9987 scaffold_6 4361504 4361504 tsr_13418 20 - scaffold_6 maker gene 4362032 4364923 . - . dp_gene5628 527
10005 scaffold_60 429808 429808 tsr_13442 61 + scaffold_60 maker gene 429793 432960 . + . dp_gene15990 0
10012 scaffold_60 305815 305815 tsr_13453 22 - scaffold_60 maker gene 302001 305899 . - . dp_gene15979 0
10015 scaffold_61 19190 19192 tsr_13461 125 + scaffold_61 maker gene 19192 19792 . + . dp_gene16024 0
10128 scaffold_63 389098 389098 tsr_13605 123 + scaffold_63 maker gene 389057 393379 . + . dp_gene16317 0
10129 scaffold_63 389203 389203 tsr_13606 30 + scaffold_63 maker gene 389057 393379 . + . dp_gene16317 0
10130 scaffold_63 391562 391566 tsr_13607 131 + scaffold_63 maker gene 389057 393379 . + . dp_gene16317 0
10154 scaffold_63 327201 327208 tsr_13637 654 - scaffold_63 maker gene 326082 328980 . - . dp_gene16307 0
10155 scaffold_63 504386 504386 tsr_13639 20 - scaffold_63 maker gene 502402 504386 . - . dp_gene16347 0
10225 scaffold_68 378526 378530 tsr_13739 47 + scaffold_68 maker gene 378522 397814 . + . dp_gene16623 0
10226 scaffold_68 381913 381913 tsr_13740 42 + scaffold_68 maker gene 378522 397814 . + . dp_gene16623 0
10227 scaffold_68 386095 386101 tsr_13741 1451 + scaffold_68 maker gene 378522 397814 . + . dp_gene16623 0
10228 scaffold_68 391680 391680 tsr_13742 35 + scaffold_68 maker gene 378522 397814 . + . dp_gene16623 0
10239 scaffold_68 36979 36979 tsr_13758 240 - scaffold_68 maker gene 34013 37189 . - . dp_gene16577 0
10257 scaffold_68 489156 489156 tsr_13785 21 - scaffold_68 maker gene 478940 489157 . - . dp_gene16644 0
10270 scaffold_69 220965 220965 tsr_13805 27 + scaffold_69 maker gene 216556 224233 . + . dp_gene16690 0
10301 scaffold_70 504455 504456 tsr_13845 48 + scaffold_70 maker gene 501564 504062 . + . dp_gene16762 394
10334 scaffold_72 219613 219613 tsr_13890 41 - scaffold_72 maker gene 204414 223521 . - . dp_gene16820 0
10343 scaffold_74 264606 264606 tsr_13903 20 + scaffold_74 maker gene 264477 265747 . + . dp_gene16941 0
10370 scaffold_74 453403 453403 tsr_13942 21 - scaffold_74 maker gene 453954 456419 . - . dp_gene16976 550
10376 scaffold_74 530692 530692 tsr_13950 33 - scaffold_74 maker gene 530017 531579 . - . dp_gene16993 0
10380 scaffold_74 633588 633589 tsr_13955 89 - scaffold_74 maker gene 629138 638060 . - . dp_gene17017 0
10401 scaffold_75 451870 451870 tsr_13979 55 + scaffold_75 maker gene 449536 451583 . + . dp_gene17096 287
10494 scaffold_76 413836 413836 tsr_14102 145 - scaffold_76 maker gene 409480 413850 . - . dp_gene17185 0
10508 scaffold_77 387530 387530 tsr_14122 21 - scaffold_77 maker gene 386477 387977 . - . dp_gene17238 0
10558 scaffold_8 804009 804013 tsr_14202 204 + scaffold_8 maker gene 803974 807778 . + . dp_gene5800 0
10635 scaffold_8 2413738 2413780 tsr_14291 133 + scaffold_8 maker gene 2413718 2417034 . + . dp_gene6012 0
10676 scaffold_8 2971801 2971801 tsr_14347 20 + scaffold_8 maker gene 2971655 2973574 . + . dp_gene6101 0
10677 scaffold_8 2980544 2980544 tsr_14348 33 + scaffold_8 maker gene 2980392 2981090 . + . dp_gene6104 0
10689 scaffold_8 3165026 3165028 tsr_14362 321 + scaffold_8 maker gene 3164726 3166550 . + . dp_gene6141 0
10721 scaffold_8 241116 241116 tsr_14400 23 - scaffold_8 maker gene 239797 241164 . - . dp_gene5707 0
10817 scaffold_8 2429257 2429257 tsr_14531 36 - scaffold_8 maker gene 2426747 2429335 . - . dp_gene6014 0
10820 scaffold_8 2555586 2555586 tsr_14536 25 - scaffold_8 maker gene 2553822 2556721 . - . dp_gene6035 0
10845 scaffold_8 2903705 2903705 tsr_14570 24 - scaffold_8 maker gene 2902512 2903736 . - . dp_gene6086 0
10894 scaffold_8 3510471 3510471 tsr_14633 79 - scaffold_8 maker gene 3506473 3510704 . - . dp_gene6215 0
10912 scaffold_80 96333 96333 tsr_14658 35 - scaffold_80 maker gene 93736 96404 . - . dp_gene17354 0
11006 scaffold_85 15654 15689 tsr_14807 57 - scaffold_85 maker gene 13367 15666 . - . dp_gene17659 0
11017 scaffold_85 132495 132495 tsr_14818 26 - scaffold_85 maker gene 131169 132825 . - . dp_gene17680 0
11035 scaffold_85 271548 271548 tsr_14836 31 - scaffold_85 maker gene 272218 273602 . - . dp_gene17695 669
11038 scaffold_85 516690 516690 tsr_14841 67 - scaffold_85 maker gene 515138 516781 . - . dp_gene17729 0
11048 scaffold_86 561845 561845 tsr_14857 20 - scaffold_86 maker gene 559281 561846 . - . dp_gene17753 0
11130 scaffold_9 864488 864488 tsr_14967 1510 + scaffold_9 maker gene 862234 864198 . + . dp_gene6349 290
11154 scaffold_9 1630746 1630746 tsr_15014 25 + scaffold_9 maker gene 1628079 1629955 . + . dp_gene6471 791
11216 scaffold_9 3250412 3250413 tsr_15102 46 + scaffold_9 maker gene 3250344 3255066 . + . dp_gene6753 0
11230 scaffold_9 348240 348241 tsr_15119 64 - scaffold_9 maker gene 344569 349369 . - . dp_gene6258 0
11241 scaffold_9 498243 498243 tsr_15135 57 - scaffold_9 maker gene 498753 499872 . - . dp_gene6296 509
11255 scaffold_9 940057 940057 tsr_15153 50 - scaffold_9 maker gene 939273 940112 . - . dp_gene6359 0
11256 scaffold_9 958606 958606 tsr_15154 57 - scaffold_9 maker gene 957825 958661 . - . dp_gene6363 0
11263 scaffold_9 1332282 1332282 tsr_15165 28 - scaffold_9 maker gene 1330249 1333973 . - . dp_gene6408 0
11308 scaffold_9 2363449 2363449 tsr_15225 242 - scaffold_9 maker gene 2363846 2364568 . - . dp_gene6590 396
11319 scaffold_9 2593523 2593523 tsr_15242 20 - scaffold_9 maker gene 2593910 2594398 . - . dp_gene6636 386
11334 scaffold_9 3179149 3179149 tsr_15270 23 - scaffold_9 maker gene 3174483 3179217 . - . dp_gene6736 0
11335 scaffold_9 3189066 3189066 tsr_15271 27 - scaffold_9 maker gene 3187306 3189132 . - . dp_gene6739 0
11340 scaffold_90 268257 268261 tsr_15282 43 + scaffold_90 maker gene 268113 273187 . + . dp_gene17889 0
11393 scaffold_94 348460 348460 tsr_15358 52 - scaffold_94 maker gene 349411 352947 . - . dp_gene17996 950
11410 scaffold_96 360477 360507 tsr_15380 72 + scaffold_96 maker gene 360502 363005 . + . dp_gene18113 0
11434 scaffold_96 431324 431324 tsr_15420 22 - scaffold_96 maker gene 429678 431336 . - . dp_gene18122 0
11449 scaffold_97 406788 406788 tsr_15442 35 + scaffold_97 maker gene 404284 408444 . + . dp_gene18212 0
11471 scaffold_97 243562 243562 tsr_15465 33 - scaffold_97 maker gene 243125 243768 . - . dp_gene18185 0
11476 scaffold_98 10938 10938 tsr_15476 20 + scaffold_98 maker gene 7931 12235 . + . dp_gene18227 0
11479 scaffold_98 73317 73319 tsr_15479 68 + scaffold_98 maker gene 69794 72487 . + . dp_gene18234 831
11509 scaffold_98 95422 95422 tsr_15515 44 - scaffold_98 maker gene 94207 96213 . - . dp_gene18241 0
